dest_ip,dest_port,metadata_comment
188.132.232.210,1009,proxy.txt
185.93.89.189,7897,proxy.txt
188.132.232.210,1004,proxy.txt
68.183.211.118,1092,proxy.txt
185.93.89.146,5386,proxy.txt
185.93.89.179,19078,proxy.txt
185.93.89.159,4877,proxy.txt
128.140.46.169,36815,proxy.txt
185.93.89.144,4464,proxy.txt
185.93.89.180,11324,proxy.txt
185.93.89.187,5052,proxy.txt
185.93.89.190,21247,proxy.txt
185.93.89.156,14148,proxy.txt
185.93.89.144,6901,proxy.txt
185.93.89.183,4376,proxy.txt
185.93.89.171,7897,proxy.txt
128.140.46.169,50202,proxy.txt
185.93.89.191,9687,proxy.txt
185.93.89.174,12031,proxy.txt
45.142.193.15,4330,proxy.txt
185.93.89.166,8095,proxy.txt
185.93.89.181,7610,proxy.txt
185.93.89.145,12196,proxy.txt
5.9.98.142,3389,proxy.txt
185.93.89.179,4076,proxy.txt
185.93.89.143,38642,proxy.txt
185.93.89.153,15918,proxy.txt
45.142.193.18,37075,proxy.txt
185.93.89.176,5156,proxy.txt
37.18.73.60,5566,proxy.txt
185.93.89.162,9965,proxy.txt
185.93.89.188,20431,proxy.txt
5.9.98.142,3132,proxy.txt
185.93.89.178,4192,proxy.txt
128.140.46.169,38163,proxy.txt
185.93.89.158,14446,proxy.txt
185.93.89.188,4029,proxy.txt
185.93.89.189,9947,proxy.txt
185.93.89.179,26976,proxy.txt
128.140.46.169,12025,proxy.txt
185.93.89.166,9203,proxy.txt
185.93.89.191,5968,proxy.txt
101.71.72.250,52300,proxy.txt
185.93.89.152,19230,proxy.txt
185.93.89.176,14985,proxy.txt
185.93.89.151,13949,proxy.txt
185.93.89.180,9200,proxy.txt
101.71.72.253,52300,proxy.txt
45.117.62.33,6250,proxy.txt
185.93.89.159,6103,proxy.txt
185.93.89.153,5709,proxy.txt
185.93.89.179,20167,proxy.txt
185.93.89.157,13600,proxy.txt
103.169.254.155,1080,proxy.txt
185.93.89.180,5502,proxy.txt
185.93.89.150,4360,proxy.txt
185.93.89.143,4527,proxy.txt
185.93.89.146,32644,proxy.txt
185.93.89.158,12113,proxy.txt
173.212.239.181,54807,proxy.txt
185.93.89.146,16713,proxy.txt
185.93.89.176,19078,proxy.txt
185.93.89.168,9520,proxy.txt
185.93.89.182,12386,proxy.txt
185.93.89.162,11992,proxy.txt
185.93.89.182,15335,proxy.txt
185.93.89.183,7093,proxy.txt
185.93.89.156,4844,proxy.txt
5.9.98.142,3000,proxy.txt
185.93.89.176,7598,proxy.txt
185.93.89.146,14395,proxy.txt
185.93.89.172,7353,proxy.txt
185.93.89.145,4842,proxy.txt
185.93.89.176,18194,proxy.txt
173.212.239.181,18757,proxy.txt
173.212.239.181,52632,proxy.txt
185.93.89.188,7621,proxy.txt
185.93.89.181,16317,proxy.txt
185.93.89.147,30930,proxy.txt
45.142.193.15,4010,proxy.txt
173.212.239.181,12910,proxy.txt
185.93.89.155,16310,proxy.txt
128.140.46.169,40427,proxy.txt
185.93.89.169,18201,proxy.txt
185.93.89.158,5702,proxy.txt
185.93.89.178,12566,proxy.txt
185.93.89.152,5186,proxy.txt
185.93.89.166,14495,proxy.txt
185.93.89.179,22015,proxy.txt
185.93.89.157,6071,proxy.txt
185.93.89.181,15534,proxy.txt
185.93.89.188,5517,proxy.txt
185.93.89.159,10191,proxy.txt
185.93.89.165,8404,proxy.txt
128.140.46.169,59893,proxy.txt
185.93.89.191,4464,proxy.txt
185.93.89.187,10951,proxy.txt
185.93.89.172,4457,proxy.txt
185.93.89.158,8877,proxy.txt
128.140.46.169,12025,socks.json
173.212.239.181,52632,socks.json
128.140.46.169,38163,socks.json
173.212.239.181,18757,socks.json
173.212.239.181,52632,socks.json
173.212.239.181,18757,socks.json
128.140.46.169,38163,socks.json
173.212.239.181,52632,socks.json
5.9.98.142,3000,socks.json
128.140.46.169,36815,socks.json
173.212.239.181,12910,socks.json
5.9.98.142,3132,socks.json
128.140.46.169,38163,socks.json
188.132.232.210,1009,socks.json
128.140.46.169,59893,socks.json
188.132.232.210,1004,socks.json
5.9.98.142,3389,socks.json
128.140.46.169,12025,socks.json
128.140.46.169,50202,socks.json
173.212.239.181,24738,socks.json
68.183.211.118,1143,socks.json
5.9.98.142,3389,socks.json
173.212.239.181,41005,socks.json
5.9.98.142,3389,socks.json
173.212.239.181,41005,socks.json
5.9.98.142,3389,socks.json
173.212.239.181,12550,socks.json
173.212.239.181,12550,socks.json
173.212.239.181,41005,socks.json
5.9.98.142,3334,socks.json
5.9.98.142,3389,socks.json
5.9.98.142,3334,socks.json
5.9.98.142,3389,socks.json
173.212.239.181,41005,socks.json
173.212.239.181,20711,socks.json
5.9.98.142,3389,socks.json
173.212.239.181,24738,socks.json
128.140.46.169,40775,socks.json
5.9.98.142,3334,socks.json
173.212.239.181,41005,socks.json
68.183.211.118,1143,socks.json
128.140.46.169,40427,socks.json
38.156.74.147,10820,socks.json
128.140.46.169,40775,socks.json
173.212.239.181,49796,socks.json
128.140.46.169,40427,socks.json
173.212.239.181,41005,socks.json
131.189.14.249,1080,socks.json
173.212.239.181,41005,socks.json
173.212.239.181,41005,socks.json
