dest_ip,dest_port,metadata_comment
130.211.99.39,3128,http
45.140.143.77,18080,socks5
45.140.143.77,18080,http
162.19.107.54,53930,socks4
51.75.126.150,12202,socks4
162.19.107.54,53930,socks5
52.18.193.139,3128,http
88.99.218.254,1080,socks5
88.99.218.254,1080,socks4
52.48.78.67,3128,http
144.76.26.117,25688,socks5
185.59.100.55,1080,socks5
146.190.16.167,3129,socks5
173.249.28.218,47525,socks4
3.67.11.151,3128,http
65.109.212.121,8443,socks5
91.226.79.220,5678,socks4
65.21.169.139,1080,socks4
46.55.240.86,4145,socks4
185.32.6.121,4153,socks4
159.148.146.65,5678,socks4
38.22.17.50,3128,http
92.53.75.196,3128,http
67.43.228.251,19181,http
104.244.78.150,5555,http
72.170.223.9,3128,http
51.89.21.99,58178,socks5
94.232.11.178,58028,socks4
81.12.169.254,4153,socks4
188.173.14.99,36835,socks4
217.15.149.192,8080,socks4
92.114.157.221,4145,socks4
45.155.226.176,3128,http
68.183.122.221,5469,socks5
85.89.184.87,5678,socks4
68.183.122.221,5469,socks4
77.87.100.22,60606,socks4
18.133.16.21,1080,http
89.169.55.200,1080,socks4
188.235.61.70,4153,socks5
51.89.21.99,47700,socks4
95.128.142.76,1080,socks4
51.89.21.99,57274,socks4
154.38.161.76,38881,socks5
54.36.115.169,24978,socks4
173.249.33.122,51726,socks5
51.83.190.248,19050,socks4
217.77.102.18,3128,http
101.47.57.240,20000,socks5
101.47.56.90,20000,socks5
94.103.86.110,13485,socks4
67.43.236.18,24245,http
101.47.59.165,20000,socks5
194.164.148.90,1080,socks5
65.21.169.142,43260,socks4
51.89.21.99,58178,socks4
178.33.42.161,53930,socks5
154.6.189.35,3128,http
83.217.23.36,8090,http
142.93.211.107,3128,http
46.105.105.223,35749,socks5
18.133.16.21,80,http
85.113.18.209,3629,socks4
196.202.91.43,8080,http
163.172.87.130,17572,socks5
166.62.121.127,45248,socks5
51.68.165.65,37044,socks5
50.63.12.101,45801,socks5
5.78.124.240,40000,socks4
94.103.86.110,13485,socks5
8.215.89.37,7777,http
101.47.56.242,20000,socks5
154.90.48.148,9090,http
109.69.0.179,5678,socks4
60.211.124.22,4434,http
212.231.197.29,4145,socks4
141.94.106.195,54165,socks5
170.187.145.238,1080,socks4
97.74.229.3,45644,socks4
51.89.21.99,8636,socks4
66.29.138.67,26447,socks5
97.105.12.186,4153,socks4
68.185.253.190,5678,socks4
200.108.190.110,9800,socks4
166.62.121.127,45248,socks4
98.152.200.61,8081,socks5
24.106.221.230,10838,socks4
8.209.211.59,3389,http
159.89.164.144,55689,socks5
149.86.159.4,8080,http
201.174.239.28,4153,socks4
66.29.138.31,28535,socks5
51.75.126.150,1964,socks5
177.234.209.85,999,http
49.76.42.73,8089,http
180.211.158.90,6080,socks4
117.3.248.41,18141,socks4
101.47.57.11,20000,socks4
101.47.59.55,20000,socks4
67.43.228.252,19181,http
89.46.249.254,60729,http
101.47.56.68,20000,socks4
177.234.209.81,999,http
24.172.34.114,60133,socks4
101.47.56.53,20000,socks4
8.209.206.119,3389,http
101.47.180.175,20000,socks4
72.10.164.178,20545,http
45.91.92.45,15764,socks4
46.105.105.223,44290,socks4
128.199.253.195,9090,http
189.203.181.34,1080,socks4
190.0.15.18,5678,socks4
101.47.167.67,20000,socks5
67.43.236.20,13335,http
177.234.209.87,999,http
101.47.57.240,20000,socks4
66.29.138.67,15906,socks5
47.180.63.37,54321,socks4
181.115.75.102,5678,socks4
172.104.164.41,1080,socks4
51.75.126.150,7622,socks4
189.125.109.66,3128,http
177.234.209.82,999,http
101.47.166.246,20000,socks4
109.123.254.43,59693,socks4
219.112.242.119,8080,http
177.234.209.80,999,http
198.44.189.211,7088,socks4
27.79.208.113,16000,http
66.29.138.67,12617,socks5
35.73.28.87,3128,http
51.79.193.217,30000,socks5
103.88.169.106,33149,socks4
193.70.32.184,35755,socks5
201.204.47.66,5678,socks4
1.202.174.38,80,http
66.29.138.67,58590,socks4
54.36.13.94,54923,socks5
72.10.160.170,14519,http
114.91.26.153,2324,socks5
66.29.138.31,42576,socks4
144.76.26.117,46773,socks5
201.184.239.75,5678,socks4
