alive,alive_since,anonymity,average_timeout,first_seen,ip_data_as,ip_data_asname,ip_data_city,ip_data_continent,ip_data_continentCode,ip_data_country,ip_data_countryCode,ip_data_district,ip_data_hosting,ip_data_isp,ip_data_lat,ip_data_lon,ip_data_mobile,ip_data_org,ip_data_proxy,ip_data_regionName,ip_data_status,ip_data_timezone,ip_data_zip,ip_data_last_update,last_seen,port,protocol,proxy,ssl,timeout,times_alive,times_dead,uptime,ip
true,1788985357.6127,elite,75.111200028193,1787563084.6527,"AS215540 GLOBAL CONNECTIVITY SOLUTIONS LLP",GCS-AS,Amsterdam,Europe,EU,"The Netherlands",NL,,false,"Global Connectivity Solutions LLP",52.3716,4.8883,false,"Neterra Ltd",true,"North Holland",success,Europe/Amsterdam,1012,1788769180,1788985374.0952,1082,socks4,5.253.59.150:1082,true,64.900159835815,46717,35702,56.682318397457,5.253.59.150
true,1788985363.5613,elite,91.561124349103,1787560697.7715,"AS215540 GLOBAL CONNECTIVITY SOLUTIONS LLP",GCS-AS,Amsterdam,Europe,EU,"The Netherlands",NL,,false,"Global Connectivity Solutions LLP",52.3716,4.8883,false,"Neterra Ltd",true,"North Holland",success,Europe/Amsterdam,1012,1788768843,1788985373.8125,1082,socks5,5.253.59.150:1082,true,79.241991043091,17563,17310,50.362744816907,5.253.59.150
true,1788985151.4914,elite,2118.0394185984,1776088072.4399,"AS207952 Evro Telecom OOO",ET-AS,"St Petersburg",Europe,EU,Russia,RU,,true,"Evro Telecom OOO",59.9291,30.1943,false,"Evro Telecom OOO",true,St.-Petersburg,success,Europe/Moscow,195298,1788786893,1788985373.517,1080,socks4,46.8.104.176:1080,true,205.96051216125,337918,272909,55.321392145403,46.8.104.176
true,1788985358.2027,elite,2147.6784752588,1783197698.5176,"AS9121 Turk Telekomunikasyon Anonim Sirketi",TTNet,Ankara,Asia,AS,Türkiye,TR,,false,"Turk Telekomunikasyon A.S",39.9609,32.907,false,TurkTelecom,true,Ankara,success,Europe/Istanbul,06360,1788640340,1788985373.5008,4153,socks4,88.247.31.164:4153,true,283.61439704895,128142,142027,47.430312137958,88.247.31.164
true,1788981268.0769,elite,1534.7778045489,1785700486.9861,"AS42610 OJSC National Cable Networks",NCNET-AS,Moscow,Europe,EU,Russia,RU,,false,NCNET,55.683,37.6218,false,,true,Moscow,success,Europe/Moscow,,1788723204,1788985373.4874,8081,http,37.110.145.57:8081,false,166.96166992188,40600,9042,81.785584787075,37.110.145.57
true,1788914573.0506,elite,2168.8910776703,1770199771.1831,"AS397966 ReadyDedis, LLC",READYDEDISLLC,"Los Angeles","North America",NA,"United States",US,,false,"ReadyDedis, LLC",34.0549,-118.243,false,Readydedis,true,California,success,America/Los_Angeles,90009,1788927575,1788985373.0328,22222,socks5,193.25.215.182:22222,true,1017.1499252319,295584,5095,98.305501880743,193.25.215.182
true,1788985272.5054,elite,4091.4232327325,1785522073.5936,"AS16276 OVH SAS",OVH,Warsaw,Europe,EU,Poland,PL,,true,"OVH SAS",52.2372,21.0123,false,"OVH Sp. z o. o",true,Mazovia,success,Europe/Warsaw,00-002,1788545944,1788985372.9769,9052,socks4,57.128.249.250:9052,true,743.29304695129,84258,84571,49.907302655349,57.128.249.250
true,1788985369.9651,elite,2016.1707239114,1783197482.6123,"AS8866 Vivacom Bulgaria EAD",VIVACOM-AS,Sofia,Europe,EU,Bulgaria,BG,,false,"Vivacom Bulgaria EAD",42.6826,23.3223,false,"Vivacom Bulgaria EAD",true,Sofia-Capital,success,Europe/Sofia,1000,1788639275,1788985372.9005,4153,socks4,46.10.198.10:4153,true,147.93539047241,103615,147276,41.298811037462,46.10.198.10
true,1788984398.5769,elite,768.87714316469,1710541373.1267,"AS45102 Alibaba (US) Technology Co., Ltd.",ALIBABA-CN-NET,Charlottesville,"North America",NA,"United States",US,,true,"Alibaba.com LLC",37.4316,-78.6569,false,ALICLOUD-US,true,Virginia,success,America/New_York,22902,1788858027,1788985372.8698,3128,http,47.89.184.18:3128,true,205.99269866943,827505,164580,83.410695656118,47.89.184.18
true,1788985302.3208,elite,3882.577152361,1788709312.3065,"AS140443 PT Herza Digital Indonesia",IDNIC-HERZA-AS-ID,"East Jakarta",Asia,AS,Indonesia,ID,,false,"PT Herza Digital Indonesia",-6.2495,106.864,false,"PT SASANA TEKNOLOGI INDONESIA",false,Jakarta,success,Asia/Jakarta,13630,1788706129,1788985372.4923,1080,socks5,103.149.177.29:1080,true,1215.1961326599,5522,2768,66.610373944511,103.149.177.29
